Package,Version,License(s)
scalatest-funsuite,3.2.15,Apache License 2.0
@angular-eslint-template-parser,14.4.0,MIT License
json4s-jackson,"3.5.2, 3.6.2",Apache License 2.0
istanbul-lib-coverage,"3.0.0, 2.0.5","BSD 3-clause ""New"" or ""Revised"" License"
colorette,"1.4.0, 2.0.16, 2.0.20, 1.2.2, 1.3.0",MIT License
guava-internalfuturefailureaccess-and-internalfutures,1.0.1,Apache License 2.0
@types-d3-random,1.1.3,MIT License
is-glob,4.0.1,MIT License
to-regex,3.0.2,MIT License
golang-org-x-crypto,20200622-snapshot-75b28801,"BSD 3-clause ""New"" or ""Revised"" License"
