Package,Version,License(s)
ldapsdk,4.0.11,UnboundID LDAP SDK Free Use License
jetty-http2-common,11.0.24,(Apache License 2.0 AND Eclipse Public License 2.0)
swagger-parser,1.0.38,Apache License 2.0
aws-java-sdk-for-amazon-cloudwatch-application-signals,"1.12.793, 1.12.770",Apache License 2.0
netty-codec-protobuf,4.2.7.Final,Apache License 2.0
scalatest-mustmatchers,3.2.15,Apache License 2.0
gin-contrib-gzip,v0.0.6,MIT License
mapstructure,v1.5.0,MIT License
aws-java-sdk-for-amazon-mechanical-turk-requester,"1.12.770, 1.12.793, 1.12.124, 1.11.892",Apache License 2.0
aws-java-sdk-for-amazon-s3-on-outposts,"1.12.124, 1.12.793, 1.12.770, 1.11.892",Apache License 2.0
scalatest-propspec,3.2.15,Apache License 2.0
aws-java-sdk-for-aws-migration-hub-config,"1.12.793, 1.12.124, 1.11.892, 1.12.770",Apache License 2.0
aws-java-sdk-for-amazon-location,"1.12.770, 1.12.124, 1.12.793",Apache License 2.0
apache-commons-configuration,"1.7, 2.12.0, 1.10",Apache License 2.0
aws-java-sdk-for-amazon-documentdb-with-mongodb-compatibility,"1.12.770, 1.12.124, 1.12.793, 1.11.892",Apache License 2.0
aws-java-sdk-for-amazon-appstream,"1.12.124, 1.11.892, 1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-amazon-memorydb,"1.12.793, 1.12.770, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-codeguru-profiler,"1.12.793, 1.12.770, 1.11.892, 1.12.124",Apache License 2.0
hashicorp-hcl,v1.0.1-vault-5,Mozilla Public License 2.0
fabric8-kubernetes-model-common,6.13.1,Apache License 2.0
go-inf-inf,v0.9.1,"BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-aws-app-runner,"1.12.124, 1.12.793, 1.12.770",Apache License 2.0
aws-java-sdk-for-aws-sso-oidc,"1.11.892, 1.12.770, 1.12.793, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-iam,"1.12.793, 1.12.124, 1.12.770, 1.11.892",Apache License 2.0
aws-java-sdk-for-amazon-voice-id,"1.12.793, 1.12.770, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-connect,"1.12.770, 1.11.892, 1.12.124, 1.12.793",Apache License 2.0
scalatest-compatible,3.2.15,Apache License 2.0
aws-java-sdk-for-amazon-forecast,"1.12.770, 1.12.793, 1.12.124, 1.11.892",Apache License 2.0
aws-java-sdk-for-aws-mediatailor,"1.12.124, 1.12.770, 1.11.892, 1.12.793",Apache License 2.0
aws-java-sdk-for-aws-transfer-for-sftp,"1.11.892, 1.12.124, 1.12.770, 1.12.793",Apache License 2.0
aws-java-sdk-for-amazon-data-lifecycle-manager,"1.11.892, 1.12.124, 1.12.793, 1.12.770",Apache License 2.0
chill-java,0.9.3,Apache License 2.0
kerby-util,2.0.3,Apache License 2.0
json-smart,2.5.0,Apache License 2.0
cloudevents-json-jackson,2.3.0,Apache License 2.0
docker-buildx,v0.15.1,Apache License 2.0
kafka-schema-serializer,"7.8.0, 7.4.0, 6.1.0, 7.6.0, 6.0.0",Apache License 2.0
aws-java-sdk-for-aws-audit-manager,"1.12.770, 1.12.124, 1.12.793",Apache License 2.0
aws-java-sdk-for-amazon-lex-model-building,"1.12.124, 1.12.770, 1.11.892, 1.12.793",Apache License 2.0
aws-java-sdk-for-amazon-cloudfront,"1.12.124, 1.11.892, 1.12.770, 1.12.793",Apache License 2.0
scalactic,"3.0.8-RC2, 3.2.15",Apache License 2.0
hikaricp,"2.4.12, 3.2.0",Apache License 2.0
aws-java-sdk-for-amazon-chime-sdk-media-pipelines,"1.12.770, 1.12.793",Apache License 2.0
error-prone-annotations,"2.18.0, 2.23.0, 2.3.4, 2.5.1, 2.26.1, 2.14.0, 2.2.0, 2.10.0, 2.1.2, 2.15.0",Apache License 2.0
apache-hadoop-archives,3.3.4,Apache License 2.0
apache-commons-net,3.9.0,Apache License 2.0
aws-java-sdk-for-application-migration,"1.12.770, 1.12.793, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-account,"1.12.770, 1.12.124, 1.12.793",Apache License 2.0
natefinch-lumberjack,v2.2.1,MIT License
asm-analysis,"6.2.1, 5.0.1, 9.2, 7.2, 5.0.3","BSD 3-clause ""New"" or ""Revised"" License"
jwt-core-impl,0.5.1,Apache License 2.0
