Package,Version,License(s)
go.googlesource.com-tools,"20191119-snapshot-298f0cb1, 20181010-snapshot-1f849cf5, 20190311-snapshot-11955173, 20190312-snapshot-e65039ee, 20200324-snapshot-82bb8936, 20180907-snapshot-90fa682c, 20191021-snapshot-9cc4af7d, 20191029-snapshot-b9c20aec, 20190620-snapshot-6e04913c","BSD 3-clause ""New"" or ""Revised"" License"
@storybook-client-api,"6.3.12, 6.3.6",MIT License
boolbase,1.0.0,ISC License
AWS Java SDK :: HTTP Client Interface,2.17.30,Apache License 2.0
googleapis-gnostic,"v0.1.0, v0.3.1",Apache License 2.0
akka-cluster-custom-downing,0.0.21,Apache License 2.0
@typescript-eslint-types,"4.28.2, 4.23.0",MIT License
dot-case,3.0.4,MIT License
read-package-json-fast,2.0.3,ISC License
akka-http,"10.1.7, 10.2.6",Apache License 2.0
ASM Util,5.0.3,"BSD 3-clause ""New"" or ""Revised"" License"
@nodelib-fs.walk,1.2.8,MIT License
postcss-loader,"v5.2.0, 3.0.0, v6.1.0",MIT License
AWS Java SDK for AWS Support,1.11.892,Apache License 2.0
D3.js,v5.16.0,"BSD 3-clause ""New"" or ""Revised"" License"
@types-glob,"7.2.0, 7.1.4",MIT License
@babel-plugin-syntax-export-namespace-from,7.8.3,MIT License
jshttp-fresh,0.5.2,MIT License
reactive-streams,"1.0.2, v1.0.3",Creative Commons Zero v1.0 Universal
mixin-deep,"1.3.2, 1.3.1",MIT License
locate-path,"3.0.0, v5.0.0, 2.0.0",MIT License
attrs-python,21.2.0,MIT License
@svgr-webpack,2.4.1,MIT License
Jackson module: Paranamer,"2.9.6, 2.9.8, 2.10.2",Apache License 2.0
default-require-extensions,"3.0.0, 1.0.0",MIT License
@babel-plugin-transform-regenerator,"7.16.0, 7.0.0, 7.14.5",MIT License
lodash.throttle,4.1.1,MIT License
unicode-match-property-value-ecmascript,1.2.0,MIT License
inherits,"2.0.1, v2.0.4, 2.0.3",ISC License
jsoniter-go,"v1.1.6, 1.1.8, v1.1.7, 20180619-snapshot-f2b4162a, v1.1.9, 20180701-snapshot-ab8a2e0c",MIT License
arr-diff,"4.0.0, 2.0.0",MIT License
sindresorhus-is-stream,1.1.0,MIT License
html-encoding-sniffer,1.0.2,MIT License
kk-color-name,"1.1.3, 1.1.4",MIT License
abbrev,1.1.1,ISC License
jest-environment-jsdom,23.4.0,MIT License
@babel-plugin-proposal-unicode-property-regex,"7.16.0, 7.14.5, 7.0.0",MIT License
kafka-connect-common,0.9.6.1,Apache License 2.0
@babel-helper-optimise-call-expression,"7.0.0, 7.15.4, 7.16.0, 7.14.5",MIT License
junit-interface,0.11,"BSD 2-clause ""Simplified"" License"
import-fresh,"3.3.0, 2.0.0",MIT License
scalaz-core,"7.2.28, 7.2.27","BSD 3-clause ""New"" or ""Revised"" License"
p-map,"4.0.0, 1.2.0, 2.1.0",MIT License
UnboundID LDAP SDK for Java,4.0.11,UnboundID LDAP SDK Free Use License
@webassemblyjs-wasm-gen,"1.7.6, 1.11.1, 1.9.0, 1.11.0",MIT License
jackson-databind,"2.10.5, 2.9.5, 2.10.5.1, 2.9.6, 2.10.2, 2.9.8, 2.12.3",Apache License 2.0
ASM,"6.2.1, 5.0.4, 5.0.3, 7.2","BSD 3-clause ""New"" or ""Revised"" License"
AWS Java SDK for Alexa For Business,1.11.892,Apache License 2.0
@babel-plugin-syntax-class-static-block,7.14.5,MIT License
postcss-reduce-transforms,"5.0.1, 4.0.1",MIT License
Jackson-Datatype-JSR310,"2.9.8, 2.10.1, 2.10.5",Apache License 2.0
python-certifi,"2021.10.8, 2019.11.28",Mozilla Public License 2.0
cssnano-util-raw-cache,4.0.1,MIT License
Samba,samba-4.0.0alpha16,(GNU Affero General Public License v3.0 AND GNU General Public License v3.0 or later)
@webassemblyjs-helper-wasm-section,"1.9.0, 1.11.0, 1.11.1, 1.7.6",MIT License
google-auth,"1.9.0, 1.11.0",Apache License 2.0
postcss-replace-overflow-wrap,3.0.0,MIT License
is-utf8,0.2.1,MIT License
moment-moment,"2.22.2, 2.29.1",MIT License
@babel-helper-create-class-features-plugin,"7.15.4, 7.15.0, 7.16.0",MIT License
http-proxy-middleware,"v0.19.1, 0.18.0",MIT License
cssnano-util-get-match,4.0.0,MIT License
invariant,2.2.4,MIT License
play-functional,"2.7.2, 2.8.1, 2.9.2",Apache License 2.0
python-typing-extensions,4.0.0,Python Software Foundation License 2.3
es6-error,4.1.1,MIT License
@babel-plugin-transform-classes,"7.14.9, 7.16.0, 7.15.4, 7.1.0",MIT License
Angular,"6.0.0-rc.6, 7.0.0-rc.1",MIT License
nodeca-pako,"1.0.6, 1.0.11","(zlib License AND MIT License),MIT License"
@babel-helper-remap-async-to-generator,"7.16.0, 7.14.5, 7.1.0, 7.15.4",MIT License
jsonc-parser,3.0.0,MIT License
d3-timer,v1.0.10,"BSD 3-clause ""New"" or ""Revised"" License"
require-directory,2.1.1,MIT License
serialize-javascript,"5.0.1, 6.0.0","BSD 3-clause ""New"" or ""Revised"" License"
lilconfig,2.0.3,MIT License
use,3.1.1,MIT License
Apache Commons Codec,"1.15, 1.10, 1.13",Apache License 2.0
hashicorp-golang-lru,"v0.5.0, v0.5.1",Mozilla Public License 2.0
Animal Sniffer Annotations,"1.14, 1.18",MIT License
prometheus-akka-http,0.3.4,MIT License
cssnano-preset-default,"4.0.5, 5.1.6, 5.1.3, 5.1.4",MIT License
postcss-value-parser,"3.3.1, 4.1.0",MIT License
node-graceful-fs,"v4.2.6, 4.2.8, 4.1.11",ISC License
@babel-highlight,"7.16.0, 7.14.5, 7.0.0",MIT License
@types-d3-quadtree,1.0.9,MIT License
to-object-path,0.3.0,MIT License
jackson-module-scala,"2.10.2, 2.9.8, 2.9.6",Apache License 2.0
css-tree,"1.0.0-alpha.28, 1.0.0-alpha.29, 1.1.3",MIT License
inflight,1.0.6,ISC License
AWS Java SDK for AWS Elemental MediaPackage,1.11.892,Apache License 2.0
@storybook-client-logger,"5.3.21, 6.3.12, 6.3.6",MIT License
camelcase,"5.3.1, 4.1.0, 5.0.0, 4.1.2, 6.2.0, 3.0.0",MIT License
create-hash,1.2.0,MIT License
damerau-levenshtein,"1.0.7, 1.0.4","BSD 2-clause ""Simplified"" License"
is-buffer,1.1.6,MIT License
minipass-json-stream,1.0.1,MIT License
kubernetes-kube-state-metrics,v1.7.2,Apache License 2.0
@babel-traverse,"7.15.0, 7.15.4, 7.16.3, 7.1.4",MIT License
operator-sdk,"v0.17.2, v0.16.0",Apache License 2.0
AWS Java SDK for Amazon Fraud Detector,1.11.892,Apache License 2.0
istanbul-lib-source-maps,"1.2.6, 3.0.6","BSD 3-clause ""New"" or ""Revised"" License"
AWS Java SDK :: Third Party :: Jackson-core,2.17.30,Apache License 2.0
istanbul-lib-hook,1.2.2,"BSD 3-clause ""New"" or ""Revised"" License"
mem,"1.1.0, 4.0.0, 8.1.1",MIT License
@jimp-plugin-color,0.10.3,MIT License
Lift Json Scalaz7,3.4.3,Apache License 2.0
parent-module,1.0.1,MIT License
type.is,1.6.18,MIT License
AWS Java SDK for AWS Batch,1.11.892,Apache License 2.0
AWS Java SDK for AWS Directory Service,1.11.892,Apache License 2.0
jshttp-content-type,1.0.4,MIT License
babel-plugin-polyfill-corejs3,"0.3.0, 0.1.7, 0.2.5, 0.2.4",MIT License
isemail,3.2.0,"BSD 3-clause ""New"" or ""Revised"" License"
openrepose,"repose-7.3.0.0, 8.5.0.0",Apache License 2.0
Apache Avro Compiler,1.9.2,Apache License 2.0
ldap3,2.9.1,GNU Lesser General Public License v3.0 or later
callsites,"3.1.0, 0.2.0, 2.0.0",MIT License
jackson-annotations,"2.10.5, jackson-annotations-2.10.1, jackson-annotations-2.12.3, 2.10.2.redhat-00003, 2.9.8, 2.9.6",Apache License 2.0
@babel-plugin-transform-modules-amd,"7.16.0, 7.14.5, 7.1.0",MIT License
@jest-reporters,25.5.1,MIT License
cssstyle,"1.1.1, 2.3.0",MIT License
@cypress-xvfb,1.2.4,MIT License
k8s.io-klog,"v0.3.0, 20181129-snapshot-b9b56d5d, v0.3.1, v0.3.3, v1.0.0",Apache License 2.0
AWS Java SDK for AWS License Manager,1.11.892,Apache License 2.0
electron-to-chromium,"1.3.82, 1.3.796, 1.3.830, 1.3.893",ISC License
prometheus-procfs,"v0.0.2, 20190515-snapshot-5867b95a, v0.0.5, 20181009-snapshot-185b4288, v0.0.8",Apache License 2.0
@babel-plugin-transform-react-constant-elements,7.0.0,MIT License
@jimp-plugin-fisheye,0.10.3,MIT License
mimic-fn,"3.1.0, 2.1.0, 1.2.0",MIT License
akka-discovery,2.6.14,Apache License 2.0
AWS Java SDK for AWS Storage Gateway,1.11.892,Apache License 2.0
@webassemblyjs-ast,"1.11.1, 1.7.6, 1.9.0, 1.11.0",MIT License
core-js,"v2.6.12, v3.15.1, 2.5.7, 3.16.0, 3.19.1, 3.17.2, v3.12.0",MIT License
mute-stream,"0.0.8, 0.0.7",ISC License
css-what,"v5.0.1, 2.1.2, 5.1.0","BSD 2-clause ""Simplified"" License"
beorn7-perks,"v1.0.0, v1.0.1, 20180510-snapshot-3a771d99",MIT License
multicast-dns,6.2.3,MIT License
trace-event,1.0.3,MIT License
Punycode.js,"v2.1.1, 1.3.2, 1.4.1",MIT License
grpc-go,"v1.19.0, v1.37.0, v1.27.0, v1.27.1, v1.34.0, v1.29.1, v1.39.1",Apache License 2.0
JavaMail,"1.5.1, 1.6.2, 1.4.3","Common Development and Distribution License 1.1,Common Development and Distribution License 1.0"
@babel-plugin-proposal-optional-catch-binding,"7.0.0, 7.14.5, 7.16.0",MIT License
@storybook-core-events,"5.3.21, 6.3.6, 6.3.12",MIT License
AWS Java SDK for Amazon Route53,1.11.892,Apache License 2.0
fs-write-stream-atomic,1.0.10,ISC License
jsdom,"11.12.0, 13.0.0",MIT License
pureconfig,0.12.2,Mozilla Public License 2.0
postcss-focus-within,3.0.0,Creative Commons Zero v1.0 Universal
postcss-ordered-values,"5.0.2, 4.1.1",MIT License
is-docker,2.2.1,MIT License
joi,11.4.0,"BSD 3-clause ""New"" or ""Revised"" License"
micromatch,"3.1.10, 4.0.4, 2.3.11",MIT License
caller-path,"0.1.0, 2.0.0",MIT License
@webassemblyjs-leb128,"1.9.0, 1.11.0, 1.11.1, 1.7.6","MIT License,Apache License 2.0"
jasmine-spec-reporter,5.0.2,Apache License 2.0
@angular-platform-browser,"12.2.4, 12.2.13, 12.1.5",MIT License
AWS Java SDK for AWS Comprehend Medical,1.11.892,Apache License 2.0
querystringify,"2.2.0, 2.1.0",MIT License
@jimp-plugin-blur,0.10.3,MIT License
json-path,"2.4.0, 3.2.0",Apache License 2.0
domutils,"1.7.0, 1.1.6, 2.7.0, 1.5.1, 2.8.0","BSD 2-clause ""Simplified"" License"
AWS Java SDK for Amazon CloudFront,"1.11.892, 1.11.911",Apache License 2.0
ansi-regex,"3.0.0, 5.0.1, 2.1.1",MIT License
